first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
Wiktor,Gajewski,CZ.209256.2013,2013-04-24,3462.0 zł,CZYSTOŚĆ,False
Henryka,KRAWCZYK,KA/319318/2009,2009/10/02,3743.25 PLN,KADRY,nie
aleksander   ,Szulc,LO/325183/2011,2011-02-14,3394.71 złotych,LOGISTYKA,Nie
CECYLIA,Pawłowska ,KA/442553/2013,2013/12/30,4910.555 pln,KADRY,nie ma
Kazimierz,Bąk,KA/949003/2010,2010/11/06,"3 636,455 złotych",KADRY,NIE MA
Natalia,szymańska,KA-781803-2013,2013-08-02,4383.400000000001 pln,KADRY,Nie
RENATA,Grabowska,SP.632079.2011,2011-05-25T00:00:00,3504.0 złotych,SPRZEDAŻ,NIE
Jarosław,Grabowski,KS/762765/2018,2018-02-07T00:00:00,6603.8 ZŁ,KSIĘGOWOŚĆ   ,false
Maria,Pawłowska,MA_864332_2011,2011/04/05,3899.2000000000003 pln,MARKETING  ,0
Bogdan ,Gajewski,KA/296053/2010,2010-09-17,5051.915000000001 PLN,KADRY ,ma
Iwona,Kaczmarek ,KS/185877/2013,2013-06-13,6363.060000000001 złotych,KSIĘGOWOŚĆ,PRAWDA
Alfreda,Pietrzak,KS.865148.2010,2010-03-01,"5 275,820000000001 zł",KSIĘGOWOŚĆ,TAK
Natalia,Jankowska,SP/579985/2016 ,2016-03-09 ,4869.0 złotych,SPRZEDAŻ,Nie  
Ewa,Stępień,MA/980107/2012,2012-10-06T00:00:00,"4 429,12 złotych",MARKETING,Fałsz
lech,Majewski,LO.341097.2013,2013-01-14T00:00:00,"3 999,1050000000005 ZŁ",LOGISTYKA,PRAWDA
stefania,Wójcik,LO/773092/2014,2014-05-29,2991.6000000000004 pln,LOGISTYKA,0
Feliks,Majewski,LO/262594/2017  ,2017-07-22,"4 294,755 PLN",LOGISTYKA  ,NIE MA
Wiesława,Zielińska,sp/573180/2012,2012/05/09,4585.5 PLN,SPRZEDAŻ,nie ma
Jarosław  ,PIOTROWSKI,CZ.315935.2016,2016-09-25T00:00:00,2872.0 zł,CZYSTOŚĆ,Fałsz 
Rafał,,ma/697870/2018,2018-03-29T00:00:00,4932.8 pln,MARKETING,Fałsz
Bronisław,Krawczyk,SP/648308/2018,2018-02-07,3232.9500000000003 PLN,SPRZEDAŻ,NIE MA
Piotr,Kubiak,OC/284945/2015,2015/11/30,3673.9230000000007 ZŁ,OCHRONA,Prawda
Bogusław,Borkowski,ks/282664/2016,2016-08-06,4681.6 ZŁ,,TAK  
Włodzimierz,Sikora   ,OC/292030/2009,2009-10-02,"2 885,3 zł",OCHRONA,0
Zbigniew,Szulc,LO.390209.2013,2013-11-10,3919.509000000001 złotych,LOGISTYKA,TAK
Tomasz,Wójcik,KS/727761/2010,2010-04-20,6187.8 ZŁ,KSIĘGOWOŚĆ,nie ma
Bogdan,Michalak,OC.352306.2011,2011-10-22,2850.1000000000004 PLN,OCHRONA,0
Roman,Kubiak,SP/719028/2012,2012-03-20,3258.6000000000004 zł,SPRZEDAŻ,NIE
Stefania,Krawczyk,IT-480389-2010,2010-12-26,8983.150000000001 złotych,IT,True
Aleksandra,majewska,sp/195026/2011,2011-12-11T00:00:00,4671.0 zł,SPRZEDAŻ  ,NIE MA
Arkadiusz,Wróblewski,ka/155043/2017,2017-04-13T00:00:00,3709.15 PLN,KADRY,nie
zbigniew,Maciejewski,LO.434772.2010,2010-11-06,"3 901,9050000000007 złotych",LOGISTYKA,FAŁSZ
Maria,Olszewska,LO/428945/2011,2011-09-02,5123.5470000000005 pln,LOGISTYKA,Tak
Alojzy,Urbański,SP/203578/2010,2010-07-29T00:00:00,"3 775,5 złotych",SPRZEDAŻ,false
Alfred,Olszewski,lo/257796/2017,2017/07/22,4029.7500000000005 pln,LOGISTYKA,false  
Kazimierz,Czarnecki,LO/657948/2018,2018-10-15,2948.4 ZŁ,LOGISTYKA,Fałsz
Robert,Adamczyk,MA.304592.2016,2016-01-19,3545.92 pln,MARKETING ,NIE
ludwik,MICHALAK,MA-943651-2018,2018-07-07,3578.0800000000004 pln,MARKETING,0
Antonina,GÓRSKA,ka/307731/2018,2018/03/29,"4 054,4900000000002 ZŁ",KADRY ,Tak
Wacław,Maciejewski,oc/973786/2016,2016-06-17,"3 570,7100000000005 pln",OCHRONA,Prawda
ADELA,KWIATKOWSKA,KA/752948/2017,,4606.228 PLN,KADRY,Prawda
Ryszard,Ziółkowski,KA/503090/2017,2017-09-10  ,4437.650000000001 pln,KADRY,Nie 
Jarosław,Stępień,cz/977572/2011,2011-07-14T00:00:00,3675.87 złotych,CZYSTOŚĆ,ma
Celina,Kowalczyk,SP/971555/2011,2011-02-14T00:00:00,4955.549999999999 zł,SPRZEDAŻ,NIE
bogusław,PAWLAK,ka/887951/2010,2010-07-29T00:00:00,4221.580000000001 ZŁ,KADRY,Prawda
Stanisław,Wieczorek,lo/918132/2014,2014-07-18,3970.3500000000004 ZŁ,LOGISTYKA,NIE
Zenon, ,MA/652387/2017,2017-12-19,5545.4400000000005 PLN,MARKETING ,NIE
Cecylia,Lewandowska,it/312061/2018,2018-05-18,8248.075 PLN,IT,tak
MARTA,WIECZOREK,SP/381158/2015 ,2015-08-22,4249.5 ZŁ,SPRZEDAŻ,Fałsz
Mieczysław,Głowacki,LO/215230/2013,2013-01-14T00:00:00,3449.25 złotych,LOGISTYKA,NIE MA
Jarosław,Krajewski,ka/750553/2010,2010-09-17,4584.900000000001 zł,KADRY,false
Lucjan,Olszewski ,MA.549449.2010,2010-07-29,6100.160000000001 pln,MARKETING ,Tak
Waldemar,Wiśniewski,MA/504784/2013,2013-09-21,3427.2000000000003 złotych,MARKETING,FAŁSZ
Anna,Nowakowska,sp/129232/2009,2009-11-21 ,3259.3500000000004 pln,SPRZEDAŻ,False
Jacek,Sadowski,SP/418505/2011,2011/05/25,5288.25 zł,SPRZEDAŻ,TAK
Witold,,LO/572364/2010,2010-09-17     ,"4 710,42 zł",LOGISTYKA,0
Wacława,Jaworska,CZ/739241/2013,2013-08-02T00:00:00,3441.8 pln,CZYSTOŚĆ,0
Edyta,stępień,CZ/193518/2017,2017-01-03T00:00:00,3398.3400000000006 zł   ,CZYSTOŚĆ,TAK
Romuald,Wilk,lo/462924/2017,2017-12-19,3877.2000000000003 złotych,LOGISTYKA,nie ma
Robert ,,ks/510203/2011,2011/07/14,5336.54 PLN,KSIĘGOWOŚĆ  ,1     
Beata,Nowak,CZ/911676/2010,2010-12-26T00:00:00,3141.0 pln,CZYSTOŚĆ,NIE MA
Jacek,Mazurek,KA-862428-2010,2010-06-09T00:00:00 ,4831.35 PLN,KADRY,nie ma
Izabela,Wojciechowska,KA/832125/2010,2010-01-10,"4 722,85 zł",KADRY,False
Zygmunt,Kowalski,sp/902781/2010,2010/04/20,4278.450000000001 PLN,SPRZEDAŻ,Nie 
jerzy,BARAN,KS-372984-2011,  ,4482.0 PLN,KSIĘGOWOŚĆ,nie
Bogusław,Wysocki,CZ/138120/2015,2015-02-03,"2 659,8 pln",CZYSTOŚĆ,Prawda
Leon,Wiśniewski ,ma/343924/2016,2016-06-17,3449.6000000000004 ZŁ,MARKETING,Nie
Elżbieta,Kamińska,ma/334090/2016,2016-11-14,5609.120000000001 ZŁ,MARKETING,TAK
Rafał,wieczorek,MA.772320.2018,2018/03/29 ,3489.6000000000004 pln,MARKETING,0
Adam,Sobczak,KS/763126/2018,2018/10/15,4984.0 pln,KSIĘGOWOŚĆ,nie ma
Przemysław,Borkowski,SP/483443/2016,2016-08-06 ,4042.5 pln,SPRZEDAŻ,FAŁSZ
Witold,sikora,KS/675385/2015,2015-05-14T00:00:00     ,6776.4400000000005 złotych,KSIĘGOWOŚĆ,true
Mariusz,Urbański,IT_188954_2017,2017-09-10,8707.5 pln,IT,nie
LECH,szulc,KA.451980.2013,2013-03-05,3578.9500000000003 ZŁ,KADRY ,FAŁSZ
Marian,Michalak,lo/731320/2014,,"3 713,8500000000004 zł",LOGISTYKA,nie
Grażyna ,Kaczmarek,LO/767773/2014,2014-02-18,4476.6 PLN,LOGISTYKA,0
Zofia,Król,SP/713058/2013, ,5441.700000000001 złotych ,SPRZEDAŻ,Prawda
Marzena,kaczmarek,MA/720672/2016,2016/09/25,5200.8 złotych,MARKETING  ,ma
Eleonora,Kowalczyk,MA/679196/2011,2011-04-05,"4 433,4400000000005 pln",MARKETING,1
Andrzej,Wasilewski,lo/210436/2012,2012-11-25,4200.255 PLN,LOGISTYKA,0
Aleksander  ,Wilk,ks/659437/2010,2010-11-06,4889.72 zł,KSIĘGOWOŚĆ,TAK 
Leon,Wilk ,KA_853247_2018,2018/05/18,4581.8 PLN,KADRY,nie
jan,Kaźmierczak,sp/569227/2017,2017-02-22T00:00:00,4332.75 ZŁ,SPRZEDAŻ,false
Zofia,Zielińska ,ma/198090/2009,2009-06-24,5732.3200000000015 pln,MARKETING,True
Leon,NOWAKOWSKI,lo/460967/2015,2015-05-14 ,4503.330000000001 ZŁ,LOGISTYKA  ,nie ma 
Rozalia,WIECZOREK,SP/397985/2011,2011-09-02T00:00:00,5553.900000000001 pln  ,SPRZEDAŻ,Prawda
Wacława,zając,sp/892248/2017,2017/12/19,"3 369,0 PLN",SPRZEDAŻ,Fałsz
Michalina,Nowak,CZ/436807/2017,2017-04-13,2561.0 ZŁ,CZYSTOŚĆ,0
Franciszek,pietrzak,ka/538414/2014,2014-05-29,3272.05 pln,KADRY,Fałsz
Edmund,BARAN,KA/359631/2010,2010/04/20,5081.985 pln  ,KADRY,Nie
Alina,nowak ,LO_455287_2011,2011-12-11T00:00:00,"4 530,6 ZŁ",LOGISTYKA,0
Przemysław,Stępień,lo/531091/2014,2014-12-15 ,4476.6 PLN,LOGISTYKA,FAŁSZ  
Wojciech,Kaźmierczak,SP.486532.2013,2013/04/24,"4 563,0 PLN",SPRZEDAŻ,Nie 
Andrzej,WRÓBEL,MA/959716/2015,2015-11-30T00:00:00,5599.968000000002 PLN,MARKETING,tak
Alojzy,Baran,lo/216924/2011,2011-04-05 ,4142.34 PLN,LOGISTYKA,Fałsz
Mieczysława,Zając ,ka/411411/2014,2014-04-09,4185.0 zł,KADRY,FAŁSZ 
marzena,Wiśniewska,SP-136193-2012,2012-03-20,5435.1 zł,SPRZEDAŻ,1
Wacław,Baran,MA/980243/2013,2013-08-02,"4 542,400000000001 zł",MARKETING ,nie ma
,rutkowski,oc/563149/2013,2013-12-30,3670.4800000000005 pln,OCHRONA,
Aleksandra,Kwiatkowska,SP-707689-2011,2011-04-05,3590.25 ZŁ,SPRZEDAŻ,Fałsz
MIROSŁAWA,Kozłowska,LO/191100/2015,2015/11/30,3017.25 pln,LOGISTYKA,NIE 
Marianna,Jankowska,SP.806362.2017,2017-04-13,4567.5 złotych,SPRZEDAŻ,0
Daniela,Ostrowska,MA.338123.2016,2016-04-28T00:00:00,5089.92 PLN,MARKETING,PRAWDA  
franciszek,Zakrzewski  ,CZ-404199-2009, ,3350.6000000000004 złotych,CZYSTOŚĆ,ma
Eleonora,mazur,cz/257163/2013,2013-04-24T00:00:00,2449.0 ZŁ,CZYSTOŚĆ,nie ma 
Ludwika,Jaworska,MA/600858/2016,2016-03-09,4444.0 złotych,MARKETING,ma
JÓZEF,Król,MA_914685_2011,2011-02-14,4270.464000000001 pln ,MARKETING,true
Władysława,Zając,OC_451310_2017,2017-09-10T00:00:00,3572.6900000000005 złotych,,NIE MA 
Grzegorz ,Kaźmierczak,lo/494630/2010,2010/04/20,3410.1000000000004 pln,,Fałsz
Robert,Szulc,KS/186970/2010,  ,6844.200000000001 zł,KSIĘGOWOŚĆ,1 
Regina,pawlak,KA/776626/2009,2009-10-02,"3 379,0 złotych",,NIE MA
Mirosław,Krajewski,SP_617985_2017,2017-04-13,3427.5 ZŁ,SPRZEDAŻ,false
Edmund,WITKOWSKI,ka/151586/2014,2014-09-06,5105.7 PLN,KADRY,0
ireneusz  ,Zając,lo/968133/2014,2014-09-06,4156.515 złotych,LOGISTYKA,TAK
,WITKOWSKI,SP-531400-2014,2014-09-06,3309.6000000000004 PLN,SPRZEDAŻ,nie ma
Hanna,Wieczorek,lo/738228/2013,2013-04-24  ,3722.8950000000004 zł,LOGISTYKA,ma
Grzegorz,zalewski  ,LO_594446_2015,2015-11-30,4834.4175000000005 PLN,LOGISTYKA,
Katarzyna,Tomaszewska,MA/787351/2009 ,2009/11/21,3606.0800000000004 PLN ,MARKETING,NIE MA
Mariola,Nowakowska  ,OC/237685/2011,2011/09/02,3255.7470000000003 ZŁ ,OCHRONA,true
Leon,kalinowski,lo/570720/2009,2009-11-21,3488.2650000000003 pln,LOGISTYKA ,MA
ROMAN,górski,MA-445996-2013,2013-01-14T00:00:00,5663.68 PLN ,MARKETING,ma
KRYSTYNA,Wróbel,LO_923797_2012,2012-10-06,4280.85 zł,LOGISTYKA ,0
mariusz,Szulc ,KS/755728/2010,2010-11-06,5555.0 złotych,KSIĘGOWOŚĆ,Prawda
Mieczysława,Krawczyk  ,ks/204137/2012 ,2012-06-28 ,7672.72 pln,KSIĘGOWOŚĆ,Tak
Dariusz,Krawczyk  ,ks/646739/2013,2013-08-02T00:00:00 ,5226.320000000001 złotych,KSIĘGOWOŚĆ,MA
Alina,GÓRSKA,LO/686462/2011,2011-12-11,4401.945 PLN,LOGISTYKA,NIE MA
Gabriela,Majewska,KS/916190/2014,2014-12-15 ,5148.2 złotych,KSIĘGOWOŚĆ,nie ma
FELIKS,Szymański,ma/366326/2016,2016-09-25,5328.64 zł,MARKETING,NIE MA
ZYGMUNT,Rutkowski,MA/804902/2012,2012-11-25T00:00:00,4948.8 ZŁ,MARKETING,nie
Marianna,Michalak,CZ/604122/2011,2011/12/11  ,2955.3 zł,CZYSTOŚĆ,FAŁSZ 
Bożena,wójcik,MA-613588-2015,2015/03/25,5953.904 złotych ,MARKETING,tak  
Grzegorz ,Szczepański,LO_148294_2012,2012-03-20,3382.695 pln,LOGISTYKA,0
Rozalia,Nowicka,LO/983740/2017,2017-12-19,4358.475000000001 pln ,LOGISTYKA,PRAWDA
Artur ,Ostrowski,LO_794803_2014,2014-12-15,4480.650000000001 ZŁ,LOGISTYKA,Fałsz
Irena,Kozłowska,SP/191754/2010,2010-06-09T00:00:00,"4 327,950000000001 złotych ",SPRZEDAŻ,1
zbigniew,Maciejewski,LO/255558/2014,2014-10-26,3367.845 ZŁ,LOGISTYKA,NIE
Marianna,Rutkowska,SP.485929.2010,2010-11-06,"4 552,35 pln",SPRZEDAŻ,tak
Elżbieta,ADAMCZYK,OC/889142/2015,2015/07/03,"3 054,7000000000003 ZŁ",OCHRONA,nie
Ewa,Grabowska  ,sp/998322/2017,2017-07-22T00:00:00,"3 293,5499999999997 PLN",SPRZEDAŻ ,nie ma   
Marcin,Stępień,KA/194381/2011,2011-07-14,5392.915000000001 PLN,KADRY,1
Tadeusz,Jankowski ,lo/155010/2011,2011-07-14,4437.8550000000005 ZŁ,LOGISTYKA,nie
Franciszka,pawlak,lo/860413/2010,2010-09-17,3483.27 PLN,LOGISTYKA,nie ma
Małgorzata,GÓRSKA,IT-514421-2018,2018-05-18T00:00:00,9042.0 pln,IT,tak
Lidia,baran,ma/940013/2016,2016-08-06,3784.4800000000005 zł,MARKETING,NIE
Marcin,gajewski,ma/836689/2016,2016-06-17T00:00:00,3580.8 złotych,MARKETING,nie ma
Weronika,Tomaszewska,SP/270635/2011,2011-04-05,4506.150000000001 złotych,SPRZEDAŻ ,TAK
Bogusława,Michalak,ks/965554/2015,2015/05/14  ,7679.760000000001 zł,KSIĘGOWOŚĆ,MA
Ewa,Krawczyk,lo/496024/2015,2015-11-30T00:00:00,3539.7000000000003 złotych,LOGISTYKA,Fałsz
Michalina,Nowak,CZ-436807-2017,2017-04-13,2561.0 ZŁ,CZYSTOŚĆ,0
piotr,Dąbrowski,KA-856149-2011,2011-07-14T00:00:00,4657.75 ZŁ,KADRY,FAŁSZ
Ryszard,Wiśniewski,KS_642199_2016,2016-08-06,6152.0 zł,KSIĘGOWOŚĆ,nie ma
Przemysław,Kozłowski,LO_230182_2012,2012-10-06,"3 846,2850000000003 złotych ",LOGISTYKA,nie ma
Agnieszka,Majewska,ZA-722485-2013  ,2013-03-05,"79 555,0 zł",ZARZĄD,False
Stanisław,Dąbrowski,CZ-522889-2014,2014-02-18T00:00:00,2535.5 złotych,CZYSTOŚĆ,MA
Genowefa,Górska ,OC-250953-2013,2013/03/05,3789.5000000000005 PLN,OCHRONA,nie ma
Michał,Sokołowski,MA/774200/2018,2018/02/07 ,4660.8 złotych,MARKETING,0
EUGENIA,Michalska,KA/388333/2009,2009-08-13,3774.25 złotych ,KADRY,False
Eugeniusz,Krawczyk,ma/828009/2018,2018-07-07,5387.360000000001 pln,MARKETING,TAK
GERTRUDA,Jankowska ,KS/206983/2014,2014-05-29T00:00:00,4495.8 zł,KSIĘGOWOŚĆ,FAŁSZ
Celina,Lewandowska,MA-859463-2016,2016-01-19T00:00:00,4596.8 PLN,MARKETING,0  
Dorota,Król,KS-246793-2014,2014-10-26,7373.52 pln,KSIĘGOWOŚĆ,Prawda
Sławomir,KRAJEWSKI,MA.269731.2016,2016-04-28,"4 449,6 złotych",MARKETING ,Fałsz
Marta  ,Szymańska,SP/546759/2011,2011-12-11,3477.54 zł,SPRZEDAŻ,TAK
Przemysław,Głowacki,MA_756651_2012,2012-08-17,4016.4800000000005 PLN,MARKETING,nie
Ireneusz,Sadowski,sp/331452/2014,2014-12-15T00:00:00,"3 655,5 zł",SPRZEDAŻ,nie
irena,Mazur,LO/489154/2012,2012-05-09,4395.006 pln,LOGISTYKA,tak
Bernard,Szulc,LO/337102/2012,2012-06-28,3550.4865000000004 pln,LOGISTYKA,1
Artur,Kamiński,ks/942382/2012,2012-10-06,"6 346,0 zł",KSIĘGOWOŚĆ,FAŁSZ
Mirosława,Jaworska,SP/749007/2011,2011-12-11 ,5230.5 pln,SPRZEDAŻ,NIE MA
Michalina,pawłowska,MA/392665/2012,2012-10-06,4708.0 PLN,MARKETING,TAK
Natalia,Król,SP/178964/2014,2014-05-29,4446.0 zł,SPRZEDAŻ,False
Alfred,Zając   ,ZA_101719_2016,2016-01-19,54225.0 PLN,ZARZĄD,FAŁSZ
Bogusława ,nowicka ,CZ/797728/2011,2011-04-05,3724.9300000000003 ZŁ,CZYSTOŚĆ ,true
zdzisław,Górski,MA/797143/2010  ,2010-03-01,4107.5199999999995 zł ,MARKETING,nie ma
Leon,Wróbel,MA/610675/2009,2009-08-13T00:00:00,4268.0 PLN,MARKETING,MA
Wanda,rutkowska,OC/845382/2012,2012/06/28,"3 040,4 ZŁ",OCHRONA,NIE
Katarzyna,Kowalczyk,KA/385396/2015,,5327.66 złotych,KADRY,nie
Tomasz,Witkowski,cz/842664/2015,2015-08-22,2800.6000000000004 PLN,CZYSTOŚĆ,true
EDWARD,Olszewski ,ka/181213/2011,2011-07-14,4604.12 ZŁ,KADRY,False
Adam,Olszewski,lo/524620/2012,2012-11-25,3642.3 ZŁ,LOGISTYKA,FAŁSZ 
Mariola,Wieczorek  ,KS/279524/2013,2013-04-24,6910.0 zł,,0
Danuta,Szewczyk,CZ-592156-2009, ,3340.81 ZŁ,CZYSTOŚĆ ,PRAWDA
ŁUCJA,Zielińska,CZ_273386_2014,2014/05/29,2740.2 ZŁ,CZYSTOŚĆ,NIE
Irena,Szymańska,CZ/600694/2011,2011/07/14,3042.6000000000004 zł,CZYSTOŚĆ,true
Sylwester,Wieczorek,MA_266587_2018,2018-08-26T00:00:00 ,3766.4 zł,MARKETING,false
Mirosław,Wójcik,LO/242440/2015,2015-07-03,"3 953,0700000000006 pln ",LOGISTYKA ,Prawda 
Antoni,Krupa,SP/959713/2010,2010-07-29T00:00:00,4224.0 pln,SPRZEDAŻ,Prawda
,wasilewski,LO/964987/2013,2013-08-02   ,4367.979 złotych,LOGISTYKA ,
Wacław,Zając,SP/892261/2011,2011-12-11T00:00:00,5031.0 PLN,SPRZEDAŻ,NIE
Katarzyna,Krawczyk,SP/300594/2014,2014-02-18,3244.0499999999997 złotych  ,SPRZEDAŻ  ,False
Ewa,Wieczorek,LO_960419_2011,2011-04-05,4137.75 złotych,LOGISTYKA,0
ryszard ,Sikora,SP/887728/2016,2016/09/25 ,4172.85 ZŁ,SPRZEDAŻ,Prawda
Urszula,Król,SP/200312/2009,2009-06-24T00:00:00,4307.700000000001 złotych,SPRZEDAŻ,nie ma
Czesława,Król,CZ/131234/2011 ,2011-09-02,2866.6000000000004 ZŁ,,True
Teresa ,Ostrowska,CZ-345334-2012,2012/10/06,2811.7 PLN,CZYSTOŚĆ,False
Marian,Stępień,sp/238263/2014,2014-10-26,"3 174,0 PLN",SPRZEDAŻ,false  
Zbigniew  ,Jankowski,cz/168059/2012,2012-05-09,2223.9 zł,CZYSTOŚĆ,false
Zbigniew,Marciniak,MA-928325-2014,2014-02-18,4284.96 zł,MARKETING,FAŁSZ
Lucjan,WOŹNIAK,SP/822698/2011  ,2011-05-25,3906.870000000001 pln,SPRZEDAŻ,true
Ewa ,Lewandowska,LO/348976/2017,2017-02-22,3900.42 PLN,LOGISTYKA,False
gertruda,adamczyk,SP-506798-2010,2010/11/06  ,4613.400000000001 pln,SPRZEDAŻ,tak
Agata,Olszewska,LO/677151/2014,2014-12-15T00:00:00,4096.9800000000005 zł,LOGISTYKA,FAŁSZ
Józefa,Szewczyk,cz/514090/2013,2013-12-30T00:00:00,3053.0 złotych,CZYSTOŚĆ,Fałsz
Sylwester,,MA/551339/2013 ,  ,4576.0 pln,MARKETING,Prawda
Dariusz ,Rutkowski,KS_692406_2016,2016-09-25,"6 987,6 ZŁ",KSIĘGOWOŚĆ,0
Monika,Nowakowska,cz/140534/2018   ,2018-05-18,2637.5 PLN,CZYSTOŚĆ,nie
Julia,Wieczorek,ma/624384/2010,2010-07-29,5325.280000000001 pln,MARKETING,FAŁSZ
Dorota,Szymańska,MA/630184/2018,2018-10-15T00:00:00,5853.760000000001 zł,,TAK
Tadeusz,JAKUBOWSKI ,LO/327777/2016,2016-01-19,3648.7935 złotych,LOGISTYKA,true
BRONISŁAW,Urbański,SP_711222_2009,2009/11/21,4671.0 zł,SPRZEDAŻ,Nie
Ryszard,Kowalczyk,KS/710119/2014,2014-12-15,4972.6 PLN,KSIĘGOWOŚĆ,NIE MA
Lucjan,Walczak,KA.737162.2010,2010/12/26,4941.400000000001 złotych,KADRY,nie
LUCJAN,Kucharski,LO/699433/2017,2017-06-02,3372.9750000000004 PLN,LOGISTYKA,nie ma
PIOTR,Jaworski,MA_545575_2012,2012-06-28T00:00:00,"5 163,200000000001 złotych",MARKETING  ,nie ma
Stefan,Wilk,sp/709056/2010,2010-11-06,4551.0 zł,SPRZEDAŻ,0
Antonina,Majewska,SP/707111/2010,2010-04-20T00:00:00,3604.6499999999996 złotych,SPRZEDAŻ,nie
Zygmunt,Jasiński,MA/167679/2012,2012-11-25,"3 592,0 zł",,nie
Wojciech,Szewczyk,MA/660187/2013,2013-04-24,"3 857,0400000000004 ZŁ",MARKETING,TAK
czesław  ,Kozłowski,MA_302690_2015,2015-08-22 ,4480.96 złotych,MARKETING  ,NIE
,Olszewski,sp/721294/2011,2011-12-11,4516.05 ZŁ,SPRZEDAŻ,true  
Alfred,Grabowski,LO/436894/2010,2010-07-29T00:00:00,3632.8500000000004 PLN ,LOGISTYKA,Fałsz
Karolina,,LO/184641/2011  ,2011-09-02,4162.185 zł,LOGISTYKA,Fałsz  
janina ,Walczak ,CZ/772012/2018,2018-08-26,2113.0 pln,CZYSTOŚĆ,NIE MA 
Sabina,Walczak,MA/642238/2011,2011-09-02T00:00:00,5148.528000000001 PLN,MARKETING  ,
barbara ,zielińska,LO/674991/2015,2015/11/30,3318.3 PLN,LOGISTYKA,False
Mariola,Walczak,za/428576/2015,2015-10-11T00:00:00,71365.0 pln ,ZARZĄD,NIE MA
Alojzy ,WRÓBEL,KA/921364/2015 ,2015-05-14,3633.3550000000005 PLN,KADRY,true
CEZARY,Duda,ks/509764/2016,2016-11-14,6280.2 zł,KSIĘGOWOŚĆ,nie
Anna,Tomaszewska,LO/214300/2015,2015-11-30,3970.7550000000006 zł,LOGISTYKA,False
Mirosława,Lewandowska,CZ.704005.2012,2012/11/25,"2 133,9 pln",CZYSTOŚĆ,nie ma
Marianna,Górska  ,CZ/820634/2017,2017/04/13,3336.2 PLN,,False
Zuzanna,Wójcik,KS-263836-2015,2015-11-30,6357.2 zł,KSIĘGOWOŚĆ,False
FRANCISZEK ,Wieczorek,SP_885555_2017,2017-04-13,4107.299999999999 ZŁ,,NIE MA  
Sabina,Sikora,CZ.355218.2017 ,2017-07-22,3492.0 zł,CZYSTOŚĆ,nie
Janusz ,Krajewski,IT/292146/2016,2016-11-14,"8 472,5 ZŁ",IT ,nie
Antoni,Bąk,KS/926478/2016,2016/08/06 ,"6 924,0 zł",KSIĘGOWOŚĆ,Nie 
Jolanta,Nowakowska ,MA/809947/2013,2013-03-05,4782.400000000001 PLN,MARKETING,false
Wojciech,Kucharski,ka/840666/2013,2013-12-30T00:00:00,3964.2799999999997 PLN,KADRY,false
Marta,Zając,ma/252510/2009,2009-10-02,"3 654,4 pln",MARKETING,FAŁSZ
Genowefa,Pawlak,oc/183951/2016,2016-01-19T00:00:00 ,3780.0400000000004 pln,OCHRONA,true
Wacława,Nowicka,KS/700111/2015,2015-08-22,"7 297,400000000001 złotych",KSIĘGOWOŚĆ,Prawda
Eugenia     ,Wójcik,ks/725898/2013,2013-08-02T00:00:00,5505.6 zł,KSIĘGOWOŚĆ,Nie 
Kazimierz ,Adamczyk,lo/162953/2010,2010/09/17,2986.875 PLN,LOGISTYKA,
Mirosław,PAWLAK,MA/909348/2009,2009-11-21T00:00:00,3945.92 PLN,MARKETING,false 
Alicja,Nowakowska,CZ/251216/2013,2013/03/05,2824.2 zł,CZYSTOŚĆ,0
Bogdan,Kowalski,SP-826339-2013,2013/11/10,4110.0 PLN,SPRZEDAŻ,NIE MA
Maciej,,oc/284234/2017,2017-02-22,"3 062,9500000000003 pln",OCHRONA ,0
witold,Sikorski,KS-262500-2014,2014-09-06,6404.200000000001 pln,KSIĘGOWOŚĆ,ma
Ryszard ,Pawlak,LO/282497/2018,2018-10-15,4355.235000000001 ZŁ,LOGISTYKA,NIE
Zygmunt,Walczak,MA/891089/2016,2016-06-17,3994.2400000000002 pln,MARKETING,0
Bernard,Nowak,SP_122780_2013,2013-04-24,"5 695,470000000001 PLN",SPRZEDAŻ,ma
Rafał ,Kubiak ,KS/509815/2014,2014-04-09,6362.400000000001 pln ,KSIĘGOWOŚĆ,ma 
Ewa,WALCZAK ,IT/323693/2016,2016-06-17,"9 412,150000000001 zł",IT,true
Agata,Majewska,lo/878828/2012,2012/08/17,4372.785 ZŁ,LOGISTYKA ,False
Władysława,Adamczyk,LO-555493-2009,2009-11-21T00:00:00,3209.625 złotych,LOGISTYKA,FAŁSZ
EDMUND,Sobczak,KA/376825/2013,2013-06-13T00:00:00,5006.391500000001 zł,KADRY,MA
Artur,Walczak,KS/698713/2010,2010-04-20 ,6409.700000000001 ZŁ,KSIĘGOWOŚĆ,1
Cezary,KAMIŃSKI,sp/377263/2013 ,2013/01/14    ,4997.85 złotych,SPRZEDAŻ,Tak
JANUSZ,Dudek,SP-855071-2014,2014-09-06,"4 138,5 PLN",SPRZEDAŻ,nie 
WACŁAWA,Jabłońska,cz/770639/2014,2014-07-18T00:00:00,2544.6 ZŁ,CZYSTOŚĆ,false
BOLESŁAW,Krawczyk,CZ-667832-2012,2012-10-06,"2 512,0 zł",CZYSTOŚĆ ,Fałsz
Genowefa,Kaczmarek,oc/228360/2014,2014-05-29,2469.5 zł,OCHRONA,nie
